nu,CH4/x=1e-6/T=300K/P=1atm/L=100cm
6400.0,0.0
6400.01,1.58487590659e-10
6400.02,1.61914924786e-10
6400.03,1.68025508104e-10
6400.04,1.76972199885e-10
6400.05,1.8889707286e-10
6400.06,2.03780443681e-10
6400.07,2.212992132e-10
6400.08,2.40755591532e-10
6400.09,2.61175191847e-10
6400.1,2.8160840232e-10
6400.11,3.01454865926e-10
6400.12,3.2049666761e-10
6400.13,3.38559595135e-10
6400.14,3.55160765849e-10
6400.15,3.69609348935e-10
6400.16,3.81581458879e-10
6400.17,3.91637718204e-10
6400.18,4.01163043639e-10
6400.19,4.11731112099e-10
6400.2,4.24199200928e-10
6400.21,4.37824034703e-10
6400.22,4.49839199055e-10
6400.23,4.56052175487e-10
6400.24,4.52548163167e-10
6400.25,4.37630345341e-10
6400.26,4.12630939243e-10
6400.27,3.81066644294e-10
6400.28,3.4702471736e-10
6400.29,3.13979245002e-10
6400.3,2.84375094447e-10
6400.31,2.59643052961e-10
6400.32,2.40351754557e-10
6400.33,2.26392104815e-10
6400.34,2.17135311773e-10
6400.35,2.11574527754e-10
6400.36,2.08542569503e-10
6400.37,2.06984712828e-10
6400.38,2.06069582512e-10
6400.39,2.05086101653e-10
6400.4,2.03428288903e-10
6400.41,2.00812998483e-10
6400.42,1.97395167863e-10
6400.43,1.93477388188e-10
6400.44,1.89069563449e-10
6400.45,1.83842540271e-10
6400.46,1.77588891336e-10
6400.47,1.70652327487e-10
6400.48,1.63843696039e-10
6400.49,1.5806238717e-10
6400.5,1.54065614422e-10
6400.51,1.52420983567e-10
6400.52,1.53463403667e-10
6400.53,1.57187974998e-10
6400.54,1.63097066457e-10
6400.55,1.70078551146e-10
6400.56,1.76552784437e-10
6400.57,1.81122773006e-10
6400.58,1.83369321763e-10
6400.59,1.83898578988e-10
6400.6,1.83472553935e-10
6400.61,1.82183636744e-10
6400.62,1.79471728685e-10
6400.63,1.74793471003e-10
6400.64,1.68238573023e-10
6400.65,1.60613669651e-10
6400.66,1.53064913925e-10
6400.67,1.46638377903e-10
6400.68,1.42061396888e-10
